token	frequency	length
gluposti	2	8
prijezdom	1	9
nacrljeno	1	9
prisutnicima	1	12
riju	1	4
dekal	2	5
šušnjuæ	1	7
ostavljaju	4	10
najljepšim	1	10
quin	1	4
danka	11	5
gozba	1	5
osjetnih	1	8
sobna	1	5
bogoljubku	1	10
udriše	1	6
otmena	4	6
kroat	2	5
nekretnine	1	10
poèasi	3	6
zablenut	1	8
odmak	2	5
razkrstiše	1	10
muški	2	5
dobroga	1	7
perdo	2	5
eru	1	3
stigosmo	5	8
dvama	1	5
izdaleka	7	8
podjite	1	7
uèiniš	1	6
kuzmaniæem	1	10
sladku	1	6
ispustivši	1	10
lijo	1	4
ravnanja	1	8
neuredan	1	8
punanu	1	6
posestriv	1	9
plahovitih	1	10
otklanja	1	8
limenih	1	7
strašnija	2	9
najkasnije	1	10
vilo	7	4
najdaljih	2	9
izpiti	1	6
palube	2	6
turvitaju	1	9
duše	129	4
ciganin	2	7
ostavljala	1	10
dokazaše	1	8
razlieva	4	8
poludiš	1	7
škrabice	1	8
kume	14	4
otišao	23	6
težkih	3	6
poljanama	2	9
sal	2	3
siti	2	4
tortora	1	7
krešinu	1	7
jedanput	45	8
kubure	5	6
hipomen	1	7
preomasti	1	9
slavistike	1	10
pomicao	1	7
rasplakala	2	10
znamen	5	6
osmanovice	1	10
nesviest	1	8
medenjari	2	9
prenda	2	6
zel	15	3
sad	485	3
obièja	1	6
provizur	6	8
opeèe	1	5
osobojno	2	8
suglasu	1	7
pravjekovnu	1	11
potjerom	1	8
srba	3	4
zagledaše	4	9
ratom	2	5
kozjak	2	6
svjetionik	1	10
kucati	1	6
razoriti	2	8
grabovom	1	8
invencija	1	9
prastaroj	1	9
cesarica	2	8
rojile	2	6
spomenici	4	9
rieku	4	5
valjat	1	6
tvrdca	1	6
nakaljuje	1	9
ljubko	13	6
izbijalo	1	8
ljuštreti	1	9
apolova	1	7
pravednik	1	9
milom	19	5
augustina	2	9
prekine	4	7
naude	1	5
jednakosti	2	10
otjerajte	1	9
buri	9	4
nužna	1	5
veberovim	1	9
berba	2	5
mjesecom	3	8
trijanona	1	9
tužeæi	1	6
drhtavnim	1	9
aluzija	3	7
zatvaraše	1	9
bièevo	1	6
izskoèio	2	8
sustegla	1	8
odneslo	2	7
canonico	2	8
sriæni	1	6
slabost	9	7
sebièniku	1	9
vinograde	3	9
privlake	5	8
prestrofiranje	1	14
jelaèiæe	1	8
sobrietatis	1	11
bosioke	1	7
mijatovoj	1	9
misal	34	5
pojedinaca	1	10
ejus	1	4
protivno	2	8
slaviæi	2	7
skupljati	2	9
plamom	3	6
sokole	6	6
putu	28	4
uzdigne	1	7
orati	1	5
ljetina	1	7
zjenicama	1	9
evanðelje	5	9
golubici	1	8
obkopa	2	6
desnice	4	7
nikud	10	5
budin	2	5
podložnih	1	9
nagodu	1	6
naginjuæ	1	8
sviraè	1	6
prizemljušu	1	11
pogledu	4	7
piju	12	4
glasno	30	6
darežljiva	1	10
prelio	1	6
šuba	1	4
ugodniku	1	8
sui	2	3
štampu	1	6
haju	1	4
pravca	1	6
jelove	1	6
smeren	1	6
fikcija	5	7
èelenku	3	7
glaska	1	6
gaziti	3	6
svitao	1	6
dvostruko	4	9
proteèe	1	7
shitati	1	7
proza	1	5
uspinjati	1	9
cvateæi	1	7
velikomu	2	8
stapalo	1	7
krojile	1	7
siringa	3	7
osnovom	1	7
nakiæenost	1	10
dobiju	4	6
prosio	1	6
istjerao	1	8
bresaka	1	7
nepravda	4	8
èovjeèjih	2	9
jacint	2	6
timej	3	5
grabi	6	5
rosno	3	5
istrkalo	1	8
mletaèu	1	7
kairski	1	7
magarèevih	1	10
rosite	1	6
magjarski	1	9
kamenoj	1	7
rijeke	8	6
usnu	2	4
dosjetki	1	8
lukom	4	5
njezini	11	7
dovedavši	1	9
motke	1	5
sievaju	2	7
mudrog	2	6
pojedinostima	3	13
èardak	1	6
zraèje	1	6
premetnu	1	8
